Province,District,Party Number,Party Name,List number?,Candidate Name,Valid Votes,Candidate Rank,Total votes,page_number,table_number
Aceh,1,1,Partai Kebangkitan Bangsa,,,20.067,,,1,2
Aceh,1,1,Partai Kebangkitan Bangsa,1,"H. IRMAWAN, S.Sos., M.M.",125.234,I,,1,2
Aceh,1,1,Partai Kebangkitan Bangsa,2,M. RAMADHANA RUSLI BINTANG,55.775,III,,1,2
Aceh,1,1,Partai Kebangkitan Bangsa,3,"MAHDALENA, S.Hut.",2.313,VI,,1,2
Aceh,1,1,Partai Kebangkitan Bangsa,4,"TEUKU HAMZAH HUSEN, S.E., M.M.",5.654,V,,1,2
Aceh,1,1,Partai Kebangkitan Bangsa,5,"Tgk. MUJLISAL, S.Ag.",94.227,II,,1,2
Aceh,1,1,Partai Kebangkitan Bangsa,6,drh. HASNIDAR,938,VII,,1,2
Aceh,1,1,Partai Kebangkitan Bangsa,7,"Tgk. H. SYARIFUDDIN, M.A.",15.825,IV,,1,2
Aceh,1,1,Partai Kebangkitan Bangsa,,,,,320.033,1,2
Aceh,1,2,Partai Gerakan Indonesia Raya,,,10.121,,,2,1
Aceh,1,2,Partai Gerakan Indonesia Raya,1,"FADHLULLAH, S.E.",53.388,I,,2,1
Aceh,1,2,Partai Gerakan Indonesia Raya,2,Dra. Hj. ZULHAFAH,5.352,III,,2,1
Aceh,1,2,Partai Gerakan Indonesia Raya,3,"Drs. HASANUDDIN DARJO, M.M.",2.624,IV,,2,1
Aceh,1,2,Partai Gerakan Indonesia Raya,4,Ir. H. MAULISMAN HANAFIAH,1.622,V,,2,1
Aceh,1,2,Partai Gerakan Indonesia Raya,5,Ir. MUDDATSTSIR KAMIL,1.214,VI,,2,1
Aceh,1,2,Partai Gerakan Indonesia Raya,6,"ERLIN, S.E.",725,VII,,2,1
Aceh,1,2,Partai Gerakan Indonesia Raya,7,ZAITUN MHD,28.959,II,,2,1
Aceh,1,2,Partai Gerakan Indonesia Raya,,,,,104.005,2,1
Aceh,1,3,Partai Demokrasi Indonesia Perjuangan,,,5.325,,,2,2
Aceh,1,,,1,SOFYAN DAWOOD,34.84,II,,2,2
Aceh,1,,,2,"JAMALUDDIN IDHAM, S.H., M.H.",71.608,I,,2,2
Aceh,1,,,3,YUNIATI,1.465,V,,2,2
Aceh,1,,,4,"RIFKI TAJUDDIN, S.E.",1.012,VI,,2,2
Aceh,1,,,5,H. RAMLI MS,9.104,IV,,2,2
Aceh,1,,,6,PUSPITA FIRDA OKTYANI,253,VII,,2,2
Aceh,1,,,7,"H. DAHLAN JAMALUDDIN, S.I.P.",9.67,III,,2,2
Aceh,1,TOTAL SUARA,,,,,,133.277,2,2
Aceh,1,4,Partai Golongan Karya,,,13.238,,,3,1
Aceh,1,,,1,H. T. M. NURLIF,59.221,III,,3,1
Aceh,1,,,2,"H. M. SALIM FAKHRY, S.E., M.M.",86.697,II,,3,1
Aceh,1,,,3,"Hj. SAMSIAR, S.E.",3.654,IV,,3,1
Aceh,1,,,4,Drs. H. T. ZULKARNAINI AMPON BANG,91.816,I,,3,1
Aceh,1,,,5,"Dr. H. M. SALEH.P, S.Pd.I., M.Si.",1.639,V,,3,1
Aceh,1,,,6,"NENI RUMIANTI DAULAY, S.E.",604,VII,,3,1
Aceh,1,,,7,T. M. ALI TAR,1.174,VI,,3,1
Aceh,1,TOTAL SUARA,,,,,,258.043,3,1
Aceh,1,5,Partai NasDem,,,18.17,,,3,2
Aceh,1,,,1,"Dr. TEUKU TAUFIQULHADI, M.Si.",34.675,II,,3,2
Aceh,1,,,2,"H. MUSLIM AYUB, S.H., M.M.",73.995,I,,3,2
Aceh,1,,,3,"Dra. Hj. MEDIATI HAFNI HANUM, S.H., M.Kn., CPM.",2.103,VI,,3,2
Aceh,1,,,4,"TEUNGKU RAZUAN, S.H.",19.193,III,,3,2
Aceh,1,,,5,"T. ISKANDAR DAOD, S.E., M.Si.",5.077,IV,,3,2
Aceh,1,,,6,CUT SRI MAINITA,1.613,VII,,3,2
Aceh,1,,,7,"SUPRIJAL YUSUF, S.H.",4.041,V,,3,2
Aceh,1,TOTAL SUARA,,,,,,158.867,3,2
Aceh,1,6,Partai Buruh,,,1.473,,,4,1
Aceh,1,,,1,Habibi Inseun,3.216,I,,4,1
Aceh,1,,,2,"Mahadi Manik, S.Si., M.Si.",683,II,,4,1
Aceh,1,,,3,Rosmana Dewi,414,IV,,4,1
Aceh,1,,,4,"Sayed Masykur, S.T.",482,III,,4,1
Aceh,1,,,5,Zarlina,195,V,,4,1
Aceh,1,,,6,Hariyanto Latuheru,135,VI,,4,1
Aceh,1,,,7,Siti Sundari,132,VII,,4,1
Aceh,1,TOTAL SUARA,,,,,,6.73,4,1
Aceh,1,7,Partai Gelombang Rakyat Indonesia,,,2.163,,,4,2
Aceh,1,,,1,AZMI FAJRI USMAN,4.916,I,,4,2
Aceh,1,,,2,TGK KHALIDI AL-DJADAMI,2.147,II,,4,2
Aceh,1,,,3,KASUMIYATI,375,V,,4,2
Aceh,1,,,4,NASRUDDIN AWL,805,III,,4,2
Aceh,1,,,5,EDY SUPENO,366,VI,,4,2
Aceh,1,,,6,"FANIA VIVI HIKMAWATI, S.E.",92,VII,,4,2
Aceh,1,,,7,MOHARRIADI,495,IV,,4,2
Aceh,1,TOTAL SUARA,,,,,,11.359,4,2
Aceh,1,8,Partai Keadilan Sejahtera,,,15.586,,,5,1
Aceh,1,,,1,GHUFRAN,46.713,I,,5,1
Aceh,1,,,2,RAFLY KANDE,45.467,II,,5,1
Aceh,1,,,3,"FRIESKA INDAH SARI, S.E.",1.487,V,,5,1
Aceh,1,,,4,BUHARI SELIAN,1.797,IV,,5,1
Aceh,1,,,5,"SAID MUSTAJAB, S.Sos.",6.892,III,,5,1
Aceh,1,,,6,"Ns. SINTA NELYSA, S.Kep.",904,VI,,5,1
Aceh,1,,,7,SRI WAHYUNI,735,VII,,5,1
Aceh,1,TOTAL SUARA,,,,,,119.581,5,1
Aceh,1,9,Partai Kebangkitan Nusantara,,,580,,,5,2
Aceh,1,,,1,"YUDI KURNIA, S.E.",631,I,,5,2
Aceh,1,,,2,AMRINUR OKTAJAYA,185,III,,5,2
Aceh,1,,,3,Hj. SERI PERAINI,218,II,,5,2
Aceh,1,,,4,YANTI OCTAVIA,81,IV,,5,2
Aceh,1,,,5,NELY INDRAWATI,76,V,,5,2
Aceh,1,,,6,NOLA NOLIA,49,VI,,5,2
Aceh,1,,,,,,,1.82,5,2
Aceh,1,10,Partai Hati Nurani Rakyat,,,2.313,,,6,1
Aceh,1,,,1,"Prof. Dr. BACHTIAR ALY, M.A.",3.203,II,,6,1
Aceh,1,,,2,"Dr. H. ASFIFUDDIN, S.H., M.H.",20.214,I,,6,1
Aceh,1,,,3,FITRIAH ISPANDI,568,IV,,6,1
Aceh,1,,,4,"AL AMIN, S.H.",1.61,III,,6,1
Aceh,1,,,5,INTAN KHAIRANI,266,V,,6,1
Aceh,1,,,6,SRI ARIANA NINGSIH,223,VI,,6,1
Aceh,1,,,7,"ADNAN YACOB, S.E.",187,VII,,6,1
Aceh,1,,,,,,,28.584,6,1
Aceh,1,11,Partai Garda Republik Indonesia,,,726,,,6,2
Aceh,1,,,1,CHAIDIR FURRAZI NUR,903,I,,6,2
Aceh,1,,,2,PUTRI CHOIRUN NISYA,367,II,,6,2
Aceh,1,,,3,EGI KURNIA PUTRA,217,IV,,6,2
Aceh,1,,,4,BENING LARASATI,128,V,,6,2
Aceh,1,,,5,"T. ISKANDAR, S.T.",272,III,,6,2
Aceh,1,,,6,SETYANI LARASATI,98,VI,,6,2
Aceh,1,,,,,,,,6,2
Aceh,1,,,,,,,2.711,6,2
Aceh,1,12,Partai Amanat Nasional,,,10.187,,,7,1
Aceh,1,,,1,H. NAZARUDDIN DEK GAM,140.614,I,,7,1
Aceh,1,,,2,"MOHD. ALFATAH, S.Ag.",6.093,III,,7,1
Aceh,1,,,3,"Ir. Hj. FERRY SORAYA, M.S.I.E.",1.677,IV,,7,1
Aceh,1,,,4,DEWI MARLINA,1.409,V,,7,1
Aceh,1,,,5,"MUCHLIS ZULKIFLI, S.T., M.H.",24.532,II,,7,1
Aceh,1,,,6,"GITA ISNA YUNITA, S.E.",286,VII,,7,1
Aceh,1,,,7,ZULFITRI ARIFIN,1.069,VI,,7,1
Aceh,1,,,,,,,185.867,7,1
Aceh,1,13,Partai Bulan Bintang,,,1.742,,,7,2
Aceh,1,,,1,"H. ERLI HASIM, S.H., S.Ag., M.I.Kom.",12.47,I,,7,2
Aceh,1,,,2,Dr. TGK. H. MUHAMMAD YUS,1.886,II,,7,2
Aceh,1,,,3,"NURATIAH HANIM, A.Md.Kep.",397,IV,,7,2
Aceh,1,,,4,"SALAWATI DAHLAN M.S., S.E.",362,V,,7,2
Aceh,1,,,5,"HAMZAH, S.Sos.I.",592,III,,7,2
Aceh,1,,,6,"Heri Ramunandar, S.H.",331,VI,,7,2
Aceh,1,,,7,"SALAMUN, S.E.",276,VII,,7,2
Aceh,1,,,,,,,18.056,7,2
Aceh,1,14,Partai Demokrat,,,10.891,,,8,1
Aceh,1,,,1,H. TEUKU RIEFKY HARSYA,88.005,I,,8,1
Aceh,1,,,2,"H. T. IBRAHIM, S.T., M.M.",12.653,II,,8,1
Aceh,1,,,3,NURHAYATI,3.379,VI,,8,1
Aceh,1,,,4,KHAIRULLAH,5.274,III,,8,1
Aceh,1,,,5,"Tgk. HARMEN NURIQMAR, S.S.",4.378,V,,8,1
Aceh,1,,,6,RIZQA ZANIA,1.329,VII,,8,1
Aceh,1,,,7,TEUKU RASSYA I. PASYA,5.004,IV,,8,1
Aceh,1,,,,,,,130.913,8,1
Aceh,1,15,Partai Solidaritas Indonesia,,,3.744,,,8,2
Aceh,1,,,1,Qausar Harta Yudana,5.478,II,,8,2
Aceh,1,,,2,"AL-QUDRI, S.T.P.",6.563,I,,8,2
Aceh,1,,,3,Ercut Nova Sari,242,III,,8,2
Aceh,1,,,4,ARIEF MARTHA RAHADYAN,223,IV,,8,2
Aceh,1,,,5,Ismaidi,191,V,,8,2
Aceh,1,,,6,Suci Nur Maizaroh,91,VII,,8,2
Aceh,1,,,7,SLAMET SATYAWATI,98,VI,,8,2
Aceh,1,,,,,,,16.63,8,2
Aceh,1,16,PARTAI PERINDO,,,480,,,9,1
Aceh,1,,,1,"Mayjen. TNI (Purn.) ABDUL HAFIL FUDDIN, S.H., S.I.P., M.H.",1.957,I,,9,1
Aceh,1,,,2,AZWAR RAMLI,600,III,,9,1
Aceh,1,,,3,INTAN MONIKA,204,IV,,9,1
Aceh,1,,,4,DENY ZULFIKAR,147,V,,9,1
Aceh,1,,,5,Drs. ABDON SIAGIAN,627,II,,9,1
Aceh,1,,,6,SIWI ASRI MOPRIRATNA,57,VII,,9,1
Aceh,1,,,7,DWI AGUS SETIYORINI,90,VI,,9,1
Aceh,1,,,,,,,4.162,9,1
Aceh,1,17,Partai Persatuan Pembangunan,,,7.185,,,9,2
Aceh,1,,,1,AMRI M. ALI,11.888,II,,9,2
Aceh,1,,,2,"ILLIZA SA'ADUDDIN DJAMAL, S.E.",111.389,I,,9,2
Aceh,1,,,3,"HILMAN ISMAIL METAREUM, S.E.",1.518,V,,9,2
Aceh,1,,,4,"H. ANSARI IDRUS SAMBO, S.H.",2.182,IV,,9,2
Aceh,1,,,5,HARMANIAR,566,VII,,9,2
Aceh,1,,,6,SAID SAIFUL AL MAHDALI,2.278,III,,9,2
Aceh,1,,,7,CUT RATNAWATI,829,VI,,9,2
Aceh,1,,,,,,,,9,2
Aceh,1,,,,,,,137.835,9,2
Aceh,1,24,Partai Ummat,,,1.579,,,10,1
Aceh,1,,,1,"H. JAMAI SUNI, S.E., M.M.",6,I,,10,1
Aceh,1,,,2,"H. ANAS BIDIN NYAK SYECH, S.Ag.",871,II,,10,1
Aceh,1,,,3,CUT EVITA,458,IV,,10,1
Aceh,1,,,4,Drs. USTAZ ARSYAD AHJON,792,III,,10,1
Aceh,1,,,5,Drs. SAIFUDDIN SAMIN,381,V,,10,1
Aceh,1,,,6,"FARIDAH, S.E.",243,VI,,10,1
Aceh,1,,,7,"EFFRIDANDA M., S.E.",212,VII,,10,1
Aceh,1,,,,,,,10.536,10,1
Aceh,2,NO.,,URAIAN,,,,,11,1
Aceh,2,"DATA PEROLEHAN SUARA PARTAI POLITIK
DAN SUARA CALON",,,,SUARA SAH,PERINGKAT,,11,1
Aceh,2,1,,2,,3,4,,11,1
Aceh,2,"NOMOR, NAMA PARTAI DAN CALON",,,,,,,11,1
Aceh,2,1,,Partai Kebangkitan Bangsa,,"24,453",,,11,1
Aceh,2,,,1,H. RUSLAN DAUD (HRD),"141,953",I,,11,1
Aceh,2,,,2,"MUHAMMAD ADAM, M.Ed.","75,724",II,,11,1
Aceh,2,,,3,"ANA FITRIA SARI PINEM, S.H., M.Kn.","2,744",IV,,11,1
Aceh,2,,,4,"H. DARKASYI, S.H.","20,147",III,,11,1
Aceh,2,,,5,SUMADI ARSYAH,"1,810",V,,11,1
Aceh,2,,,6,"ARINI ARISKA, A.Md.Keb",919,VI,,11,1
Aceh,2,TOTAL SUARA,,,,"267,750",,,11,1
Aceh,2,NO.,,URAIAN,,,,,11,2
Aceh,2,"DATA PEROLEHAN SUARA PARTAI POLITIK
DAN SUARA CALON",,,,SUARA SAH,PERINGKAT,,11,2
Aceh,2,1,,2,,3,4,,11,2
Aceh,2,"NOMOR, NAMA PARTAI DAN CALON",,,,,,,11,2
Aceh,2,2,,Partai Gerakan Indonesia Raya,,"13,723",,,11,2
Aceh,2,,,1,"Ir. H. T. A. KHALID, M.M.","73,873",I,,11,2
Aceh,2,,,2,"FADLI TRI HARTONO, S.Si., M.P.A.","34,860",II,,11,2
Aceh,2,,,3,CUT PUTEH,"3,228",V,,11,2
Aceh,2,,,4,"H. FACHRUL RAZI, M.I.P.","6,682",IV,,11,2
Aceh,2,,,5,"T. ZAINAL ABIDIN, S.Pd.I., M.H.","26,218",III,,11,2
Aceh,2,,,6,"DEWI KARTIKA, S.H.","1,013",VI,,11,2
Aceh,2,TOTAL SUARA,,,,"159,597",,,11,2
Aceh,2,NO.,,URAIAN,,,,,11,3
Aceh,2,"DATA PEROLEHAN SUARA PARTAI POLITIK
DAN SUARA CALON",,,,SUARA SAH,PERINGKAT,,11,3
Aceh,2,1,,2,,3,4,,11,3
Aceh,2,"NOMOR, NAMA PARTAI DAN CALON",,,,,,,11,3
Aceh,2,3,,Partai Demokrasi Indonesia Perjuangan,,"4,421",,,11,3
Aceh,2,,,1,ARWIN MEGA,"10,577",I,,11,3
Aceh,2,,,2,HANAFIAH,"2,117",II,,11,3
Aceh,2,,,3,DWI AYU MARGASARI,"1,213",III,,11,3
Aceh,2,,,4,"M. SALADIN AKBAR, S.ST.",975,IV,,11,3
Aceh,2,,,5,MAS ADI M,449,V,,11,3
Aceh,2,,,6,DWI KRISTINAWATI,307,VI,,11,3
Aceh,2,TOTAL SUARA,,,,"20,059",,,11,3
Aceh,2,NO.,,URAIAN,,,,,12,1
Aceh,2,"DATA PEROLEHAN SUARA PARTAI POLITIK
DAN SUARA CALON",,,,SUARA SAH,PERINGKAT,,12,1
Aceh,2,1,,2,,3,4,,12,1
Aceh,2,"NOMOR, NAMA PARTAI DAN CALON",,,,,,,12,1
Aceh,2,4,,Partai Golongan Karya,,"21,170",,,12,1
Aceh,2,,,1,H. ILHAM PANGESTU,"204,199",I,,12,1
Aceh,2,,,2,"H. SAYED FUAD ZAKARIA, S.E.","6,690",IV,,12,1
Aceh,2,,,3,"CUT RIZKA SEPTIANI, S.I.Kom., M.Si.","3,724",VI,,12,1
Aceh,2,,,4,MOHD AMIN,"4,670",V,,12,1
Aceh,2,,,5,drh. NURAINI MAIDA,"9,608",III,,12,1
Aceh,2,,,6,SAMSUL BAHRI TIYONG,"86,109",II,,12,1
Aceh,2,TOTAL SUARA,,,,"336,170",,,12,1
Aceh,2,NO.,,URAIAN,,,,,12,2
Aceh,2,"DATA PEROLEHAN SUARA PARTAI POLITIK
DAN SUARA CALON",,,,SUARA SAH,PERINGKAT,,12,2
Aceh,2,1,,2,,3,4,,12,2
Aceh,2,"NOMOR, NAMA PARTAI DAN CALON",,,,,,,12,2
Aceh,2,5,,Partai NasDem,,"19,534",,,12,2
Aceh,2,,,1,"Prof. Dr. Ir. H. ABDULLAH PUTEH, M.Si.","23,348",III,,12,2
Aceh,2,,,2,"Ir. H. NASARUDDIN, M.M.","44,402",II,,12,2
Aceh,2,,,3,"Hj. ISMANIAR, S.E.","4,071",V,,12,2
Aceh,2,,,4,"AGUS HIDAYAT THAIB, S.E.","2,413",VI,,12,2
Aceh,2,,,5,"IRSAN SOSIAWAN, M.B.A.","66,009",I,,12,2
Aceh,2,,,6,Hj. FATIMAH,"9,503",IV,,12,2
Aceh,2,TOTAL SUARA,,,,"169,280",,,12,2
Aceh,2,NO.,,URAIAN,,,,,12,3
Aceh,2,"DATA PEROLEHAN SUARA PARTAI POLITIK
DAN SUARA CALON",,,,SUARA SAH,PERINGKAT,,12,3
Aceh,2,1,,2,,3,4,,12,3
Aceh,2,"NOMOR, NAMA PARTAI DAN CALON",,,,,,,12,3
Aceh,2,6,,Partai Buruh,,"2,241",,,12,3
Aceh,2,,,1,Drs. Agus Syahputra,"1,945",I,,12,3
Aceh,2,,,2,Fitria Ningsih,667,II,,12,3
Aceh,2,,,3,Marjuki,503,III,,12,3
Aceh,2,,,4,Abdi Hasan Subari,301,V,,12,3
Aceh,2,,,5,Arianingsih,130,VI,,12,3
Aceh,2,,,6,Tukimin,306,IV,,12,3
Aceh,2,TOTAL SUARA,,,,"6,093",,,12,3
Aceh,2,NO.,,URAIAN,,,,,13,1
Aceh,2,"DATA PEROLEHAN SUARA PARTAI POLITIK
DAN SUARA CALON",,,,SUARA SAH,PERINGKAT,,13,1
Aceh,2,1,,2,,3,4,,13,1
Aceh,2,"NOMOR, NAMA PARTAI DAN CALON",,,,,,,13,1
Aceh,2,7,,Partai Gelombang Rakyat Indonesia,,"2,521",,,13,1
Aceh,2,,,1,"H. FUADY, S.T., M.Si.","2,634",I,,13,1
Aceh,2,,,2,FAUZI RAMADHAN,"1,446",II,,13,1
Aceh,2,,,3,"SARI DEWI, S.E.",730,IV,,13,1
Aceh,2,,,4,ZULKIFLI USMAN,749,III,,13,1
Aceh,2,,,5,EGA SURYANINGSIH,186,V,,13,1
Aceh,2,,,,,,,,13,1
Aceh,2,TOTAL SUARA,,,,"8,266",,,13,1
Aceh,2,NO.,,URAIAN,,,,,13,2
Aceh,2,"DATA PEROLEHAN SUARA PARTAI POLITIK
DAN SUARA CALON",,,,SUARA SAH,PERINGKAT,,13,2
Aceh,2,1,,2,,3,4,,13,2
Aceh,2,"NOMOR, NAMA PARTAI DAN CALON",,,,,,,13,2
Aceh,2,8,,Partai Keadilan Sejahtera,,"14,019",,,13,2
Aceh,2,,,1,"M. NASIR DJAMIL, M.Si.","59,552",I,,13,2
Aceh,2,,,2,"TENGKU INSYAFUDDIN, S.T.","13,763",II,,13,2
Aceh,2,,,3,"ANANDA FILDZA ALIFA, S.Sos.","2,186",VI,,13,2
Aceh,2,,,4,"dr. EDDI JUNAIDI, Sp.OG., S.H., M.Kes.","8,239",III,,13,2
Aceh,2,,,5,AIDIL FAN,"3,711",IV,,13,2
Aceh,2,,,6,"FARAH FAADHILAH, S.Ag.","2,670",V,,13,2
Aceh,2,TOTAL SUARA,,,,"104,140",,,13,2
Aceh,2,NO.,,URAIAN,,,,,13,3
Aceh,2,"DATA PEROLEHAN SUARA PARTAI POLITIK
DAN SUARA CALON",,,,SUARA SAH,PERINGKAT,,13,3
Aceh,2,1,,2,,3,4,,13,3
Aceh,2,"NOMOR, NAMA PARTAI DAN CALON",,,,,,,13,3
Aceh,2,9,,Partai Kebangkitan Nusantara,,534,,,13,3
Aceh,2,,,1,ZULFIKAR H.,857,I,,13,3
Aceh,2,,,2,RAZUARDI,319,II,,13,3
Aceh,2,,,3,RINI ANDIYANI,147,IV,,13,3
Aceh,2,,,4,"URIESSAMADIN, S.Hut.",157,III,,13,3
Aceh,2,,,5,NABILA ARFAH YUANA,107,V,,13,3
Aceh,2,,,6,"M. PAISAL AK PUTEH, S.E.",87,VI,,13,3
Aceh,2,TOTAL SUARA,,,,"2,208",,,13,3
Aceh,2,NO.,,URAIAN,,,,,14,1
Aceh,2,"DATA PEROLEHAN SUARA PARTAI POLITIK
DAN SUARA CALON",,,,SUARA SAH,PERINGKAT,,14,1
Aceh,2,1,,2,,3,4,,14,1
Aceh,2,"NOMOR, NAMA PARTAI DAN CALON",,,,,,,14,1
Aceh,2,10,,Partai Hati Nurani Rakyat,,"2,075",,,14,1
Aceh,2,,,1,Ir. H. ZULNAHAR USMAN,"2,624",II,,14,1
Aceh,2,,,2,"USMAN ABDULLAH, S.E.","16,007",I,,14,1
Aceh,2,,,3,"NOVI YUNITA, S.E.",643,V,,14,1
Aceh,2,,,4,"KHALID SAPUTRA, S.Kom.","1,778",IV,,14,1
Aceh,2,,,5,"CUT MEUTIA, S.H., M.H.","2,108",III,,14,1
Aceh,2,,,6,NAZAR,205,VI,,14,1
Aceh,2,TOTAL SUARA,,,,"25,440",,,14,1
Aceh,2,NO.,,URAIAN,,,,,14,2
Aceh,2,"DATA PEROLEHAN SUARA PARTAI POLITIK
DAN SUARA CALON",,,,SUARA SAH,PERINGKAT,,14,2
Aceh,2,1,,2,,3,4,,14,2
Aceh,2,"NOMOR, NAMA PARTAI DAN CALON",,,,,,,14,2
Aceh,2,11,,Partai Garda Republik Indonesia,,"1,327",,,14,2
Aceh,2,,,1,MAULUDDIN,"1,721",I,,14,2
Aceh,2,,,2,ZIMI ARAMIKO,895,II,,14,2
Aceh,2,,,3,"TAMY FATMILA IBRAHIM, S.Sos.I.",577,III,,14,2
Aceh,2,,,4,"MUSTAFA ABDULLAH, S.E.",503,IV,,14,2
Aceh,2,,,5,ARI YOGA,217,V,,14,2
Aceh,2,,,6,KARYAWATI,100,VI,,14,2
Aceh,2,TOTAL SUARA,,,,"5,340",,,14,2
Aceh,2,NO.,,URAIAN,,,,,14,3
Aceh,2,"DATA PEROLEHAN SUARA PARTAI POLITIK
DAN SUARA CALON",,,,SUARA SAH,PERINGKAT,,14,3
Aceh,2,1,,2,,3,4,,14,3
Aceh,2,"NOMOR, NAMA PARTAI DAN CALON",,,,,,,14,3
Aceh,2,12,,Partai Amanat Nasional,,"7,369",,,14,3
Aceh,2,,,1,Ir. H. MAWARDI ALI,"27,381",I,,14,3
Aceh,2,,,2,"Dr. H. S MALTHA, S.I.K., S.H., M.Si.","5,829",IV,,14,3
Aceh,2,,,3,Ir. MEUTIA SAFRIDA,"10,197",III,,14,3
Aceh,2,,,4,"H. AMINULLAH USMAN, S.E.Ak., M.M.","26,957",II,,14,3
Aceh,2,,,5,NONONG SAKURA,"1,210",VI,,14,3
Aceh,2,,,6,"TEUKU HASBULLAH H.D., S.T.","3,900",V,,14,3
Aceh,2,TOTAL SUARA,,,,"82,843",,,14,3
Aceh,2,NO.,,URAIAN,,,,,15,1
Aceh,2,"DATA PEROLEHAN SUARA PARTAI POLITIK
DAN SUARA CALON",,,,SUARA SAH,PERINGKAT,,15,1
Aceh,2,1,,2,,3,4,,15,1
Aceh,2,"NOMOR, NAMA PARTAI DAN CALON",,,,,,,15,1
Aceh,2,13,,Partai Bulan Bintang,,"1,997",,,15,1
Aceh,2,,,1,"RUSLI, S.Sos.I.","2,062",I,,15,1
Aceh,2,,,2,"MAWARDI, S.Pd.","1,385",II,,15,1
Aceh,2,,,3,"Rita Septiana, A.Md.Keb.",285,V,,15,1
Aceh,2,,,4,T. MAHYUDDIN A.R.,449,IV,,15,1
Aceh,2,,,5,MUZAKKIR,794,III,,15,1
Aceh,2,,,6,Rosda Lyanti,106,VI,,15,1
Aceh,2,TOTAL SUARA,,,,"7,078",,,15,1
Aceh,2,NO.,,URAIAN,,,,,15,2
Aceh,2,"DATA PEROLEHAN SUARA PARTAI POLITIK
DAN SUARA CALON",,,,SUARA SAH,PERINGKAT,,15,2
Aceh,2,1,,2,,3,4,,15,2
Aceh,2,"NOMOR, NAMA PARTAI DAN CALON",,,,,,,15,2
Aceh,2,14,,Partai Demokrat,,"10,935",,,15,2
Aceh,2,,,1,"MUSLIM, S.H.I., M.M.","54,414",I,,15,2
Aceh,2,,,2,"RIDHWAN ARIFFALAH RUSLI BINTANG, B.Sc., M.A.","13,783",II,,15,2
Aceh,2,,,3,CUT YANTI NORA,"4,351",IV,,15,2
Aceh,2,,,4,HERIYANSYAH,"7,514",III,,15,2
Aceh,2,,,5,"HAMZAH TUN, S.H.","1,807",V,,15,2
Aceh,2,,,6,"ADE REZA MEUTIA, S.Tr.Keb.",634,VI,,15,2
Aceh,2,TOTAL SUARA,,,,"93,438",,,15,2
Aceh,2,NO.,,URAIAN,,,,,15,3
Aceh,2,"DATA PEROLEHAN SUARA PARTAI POLITIK
DAN SUARA CALON",,,,SUARA SAH,PERINGKAT,,15,3
Aceh,2,1,,2,,3,4,,15,3
Aceh,2,"NOMOR, NAMA PARTAI DAN CALON",,,,,,,15,3
Aceh,2,15,,Partai Solidaritas Indonesia,,"2,395",,,15,3
Aceh,2,,,1,"MUHAMMAD ZUBIR, S.H., M.H.","2,006",I,,15,3
Aceh,2,,,2,HERIZAL,676,II,,15,3
Aceh,2,,,3,"YUNINGSIH, S.E.",273,IV,,15,3
Aceh,2,,,4,HAMDANI,460,III,,15,3
Aceh,2,,,5,"RIRIN RAHMADHANI, S.T.",162,VI,,15,3
Aceh,2,,,6,ZULKHAIRI,207,V,,15,3
Aceh,2,TOTAL SUARA,,,,"6,179",,,15,3
Aceh,2,NO.,,URAIAN,,,,,16,1
Aceh,2,"DATA PEROLEHAN SUARA PARTAI POLITIK
DAN SUARA CALON",,,,SUARA SAH,PERINGKAT,,16,1
Aceh,2,1,,2,,3,4,,16,1
Aceh,2,"NOMOR, NAMA PARTAI DAN CALON",,,,,,,16,1
Aceh,2,16,,PARTAI PERINDO,,560,,,16,1
Aceh,2,,,1,"HUSAINI M. AMIN, S.E.","1,945",I,,16,1
Aceh,2,,,2,"ANDI SYAFRIZAL, S.KH.",893,II,,16,1
Aceh,2,,,3,CUT DINDA APRILIANI,209,IV,,16,1
Aceh,2,,,4,dr. ICHSAN,258,III,,16,1
Aceh,2,,,5,"NOERFAIZI, S.H.",200,V,,16,1
Aceh,2,,,6,FIEN HERAWATI,122,VI,,16,1
Aceh,2,TOTAL SUARA,,,,"4,187",,,16,1
Aceh,2,NO.,,URAIAN,,,,,16,2
Aceh,2,"DATA PEROLEHAN SUARA PARTAI POLITIK
DAN SUARA CALON",,,,SUARA SAH,PERINGKAT,,16,2
Aceh,2,1,,2,,3,4,,16,2
Aceh,2,"NOMOR, NAMA PARTAI DAN CALON",,,,,,,16,2
Aceh,2,17,,Partai Persatuan Pembangunan,,"9,651",,,16,2
Aceh,2,,,1,Drs. H. ANWAR IDRIS,"41,785",I,,16,2
Aceh,2,,,2,Dr. H. TARMIZI A. KARIM,"34,837",II,,16,2
Aceh,2,,,3,CUT SITI MAISYARAH,"1,439",IV,,16,2
Aceh,2,,,4,MUNAWAR KHALIL,"4,203",III,,16,2
Aceh,2,,,5,NYA'ZATA AMANI,400,VI,,16,2
Aceh,2,,,6,SIKDAM,599,V,,16,2
Aceh,2,TOTAL SUARA,,,,"92,914",,,16,2
Aceh,2,NO.,,URAIAN,,,,,16,3
Aceh,2,"DATA PEROLEHAN SUARA PARTAI POLITIK
DAN SUARA CALON",,,,SUARA SAH,PERINGKAT,,16,3
Aceh,2,1,,2,,3,4,,16,3
Aceh,2,"NOMOR, NAMA PARTAI DAN CALON",,,,,,,16,3
