Year,Election,Province,District Name,Party Number,Party Name,Candidate Name,"Candidate Gender L=Male, P=Female",Candidate List Number
2019,DPR ,ACEH,ACEH I,1,PKB,"H. IRMAWAN, S.Sos, MM",L,1
2019,DPR ,ACEH,ACEH I,1,PKB,SAYED MUSTAFA USAB AL IDROES,L,2
2019,DPR ,ACEH,ACEH I,1,PKB,MAHDALENA,P,3
2019,DPR ,ACEH,ACEH I,1,PKB,T. NASRUDDIN,L,4
2019,DPR ,ACEH,ACEH I,1,PKB,KHAIRULLAH,L,5
2019,DPR ,ACEH,ACEH I,1,PKB,"IDAWATI, S.E",P,6
2019,DPR ,ACEH,ACEH I,1,PKB,"SUHARNI BUSTAMI, S.Pd",P,7
2019,DPR ,ACEH,ACEH I,2,Gerindra,"FADHLULLAH, SE",L,1
2019,DPR ,ACEH,ACEH I,2,Gerindra,"Dr. ASFIFUDDIN, SH, MH",L,2
2019,DPR ,ACEH,ACEH I,2,Gerindra,Dra. Hj. ZULHAFAH,P,3
2019,DPR ,ACEH,ACEH I,2,Gerindra,"ABDULLAH SALEH, SH",L,4
2019,DPR ,ACEH,ACEH I,2,Gerindra,AINAL MARDHIAH,P,5
2019,DPR ,ACEH,ACEH I,2,Gerindra,"Drs. H. SAYUTHI IS, MM",L,6
2019,DPR ,ACEH,ACEH I,2,Gerindra,CUT MEUTIA ADRINA,P,7
2019,DPR ,ACEH,ACEH I,3,PDIP,H. KARIMUN USMAN,L,1
2019,DPR ,ACEH,ACEH I,3,PDIP,RAMOND DONY ADAM,L,2
2019,DPR ,ACEH,ACEH I,3,PDIP,DWI LUHNUARI JUMWATI,P,3
2019,DPR ,ACEH,ACEH I,3,PDIP,"MUSLAHUDDIN DAUD, S.Ag",L,4
2019,DPR ,ACEH,ACEH I,3,PDIP,"TITI WIDYAWATI, S.P.",P,5
2019,DPR ,ACEH,ACEH I,3,PDIP,NASRAN AB,L,6
2019,DPR ,ACEH,ACEH I,3,PDIP,LIRA AMALIA,P,7
2019,DPR ,ACEH,ACEH I,4,Golkar,ANDI HS,L,1
2019,DPR ,ACEH,ACEH I,4,Golkar,"M. SALIM FAKHRY, M.M.",L,2
2019,DPR ,ACEH,ACEH I,4,Golkar,CUT SRI MAINITA,P,3
2019,DPR ,ACEH,ACEH I,4,Golkar,"Drs. H. SULAIMAN ABDA, M.Si",L,4
2019,DPR ,ACEH,ACEH I,4,Golkar,Drs. H.T. ZULKARNAINI,L,5
2019,DPR ,ACEH,ACEH I,4,Golkar,"NENI RUMIANTI DAULAY, S.E.",P,6
2019,DPR ,ACEH,ACEH I,4,Golkar,"CUT NURMALAHAYATI U, S.E.",P,7
2019,DPR ,ACEH,ACEH I,5,NasDem,"H ZAINI DJALIL, SH",L,1
2019,DPR ,ACEH,ACEH I,5,NasDem,"TGK. ANWAR, S.PD., MM",L,2
2019,DPR ,ACEH,ACEH I,5,NasDem,"Hj. DRA. MEDIATI HAFNI HANUM, SH., Mkn",P,3
2019,DPR ,ACEH,ACEH I,5,NasDem,"DESI FITRIANI, S.Sos",P,4
2019,DPR ,ACEH,ACEH I,5,NasDem,IRSAN SOSIAWAN,L,5
2019,DPR ,ACEH,ACEH I,5,NasDem,"IR. JUFRI HASANUDDIN, MM",L,6
2019,DPR ,ACEH,ACEH I,5,NasDem,"Dra. NURHUSNA RAZALI, M.Pd",P,7
2019,DPR ,ACEH,ACEH I,6,Garuda,FACHRUDDIN N,L,1
2019,DPR ,ACEH,ACEH I,6,Garuda,DJUNAIDI,L,2
2019,DPR ,ACEH,ACEH I,6,Garuda,FITRI MULIANI,P,3
2019,DPR ,ACEH,ACEH I,7,Berkarya,"NURCHALIS, SP., MSi.",L,1
2019,DPR ,ACEH,ACEH I,7,Berkarya,"Dr. Ir. JAMIL ANSARI, SH, MM",L,2
2019,DPR ,ACEH,ACEH I,7,Berkarya,"IRA HADIATI, SH",P,3
2019,DPR ,ACEH,ACEH I,7,Berkarya,"H. JUNAIDI, SE",L,4
2019,DPR ,ACEH,ACEH I,7,Berkarya,SUMIATI,P,5
2019,DPR ,ACEH,ACEH I,7,Berkarya,DASLELIATI,P,6
2019,DPR ,ACEH,ACEH I,7,Berkarya,"H. SAYED FUAD ZAKARIA, SE",L,7
2019,DPR ,ACEH,ACEH I,8,PKS,GHUFRAN,L,1
2019,DPR ,ACEH,ACEH I,8,PKS,RAFLI,L,2
2019,DPR ,ACEH,ACEH I,8,PKS,"SRI HANUM, SE",P,3
2019,DPR ,ACEH,ACEH I,8,PKS,H. MUHAMMAD RIZAL,L,4
2019,DPR ,ACEH,ACEH I,8,PKS,"ANGGARDA PARAMITA, S.Pd",P,5
2019,DPR ,ACEH,ACEH I,8,PKS,"DEVI ARIANI, S.SOS",P,6
2019,DPR ,ACEH,ACEH I,8,PKS,"M. YUNUS AZHARI, SH",L,7
2019,DPR ,ACEH,ACEH I,9,Perindo,"HAMDANI HAMID, S.P",L,1
2019,DPR ,ACEH,ACEH I,9,Perindo,"ZULKARNAIN, S.E., M.M",L,2
2019,DPR ,ACEH,ACEH I,9,Perindo,"SELFIA NINGSIH, S.Pd",P,3
2019,DPR ,ACEH,ACEH I,9,Perindo,"EFFRI DANDA, S.E",L,4
2019,DPR ,ACEH,ACEH I,9,Perindo,"MONICA OVIANANDA, A.MD.",P,5
2019,DPR ,ACEH,ACEH I,9,Perindo,SAMSIR ALI,L,6
2019,DPR ,ACEH,ACEH I,9,Perindo,CITRA LEVIONITA ANDREAN,P,7
2019,DPR ,ACEH,ACEH I,10,PPP,AMRI M ALI,L,1
2019,DPR ,ACEH,ACEH I,10,PPP,"T ZULFIKAR THAIB ALY, SH",L,2
2019,DPR ,ACEH,ACEH I,10,PPP,"HJ. ILLIZA SA'ADUDDIN DJAMAL, SE",P,3
2019,DPR ,ACEH,ACEH I,10,PPP,"ROSNI IDHAM, SE",P,4
2019,DPR ,ACEH,ACEH I,10,PPP,IBNU AQIL,L,5
2019,DPR ,ACEH,ACEH I,10,PPP,H. RUSYDI AW,L,6
2019,DPR ,ACEH,ACEH I,10,PPP,ONIE SEPTARINA R,P,7
2019,DPR ,ACEH,ACEH I,11,PSI,"DRS. H ANHARUDDIN, SE, MM",L,1
2019,DPR ,ACEH,ACEH I,11,PSI,YAZIR AKRAMULLAH,L,2
2019,DPR ,ACEH,ACEH I,11,PSI,NURTI SARIANI,P,3
2019,DPR ,ACEH,ACEH I,11,PSI,HERLINA,P,4
2019,DPR ,ACEH,ACEH I,11,PSI,NUR MAILIS,P,5
2019,DPR ,ACEH,ACEH I,11,PSI,AHMAD NABIL,L,6
2019,DPR ,ACEH,ACEH I,11,PSI,SAFRAN,L,7
2019,DPR ,ACEH,ACEH I,12,PAN,"H. MUSLIM AYUB, S.H., M.M.",L,1
2019,DPR ,ACEH,ACEH I,12,PAN,"MOHD ALFATAH, S.Ag",L,2
2019,DPR ,ACEH,ACEH I,12,PAN,"ZAKIYAH DRAZAT, S. Tr. Keb",P,3
2019,DPR ,ACEH,ACEH I,12,PAN,H. NAZARUDDIN DEK GAM,L,4
2019,DPR ,ACEH,ACEH I,12,PAN,"LELI HERAWATI, A.Md",P,5
2019,DPR ,ACEH,ACEH I,12,PAN,"MARGONINGSIH, SE",P,6
2019,DPR ,ACEH,ACEH I,12,PAN,SULAIMAN ALI,L,7
2019,DPR ,ACEH,ACEH I,13,Hanura,"IBNU RUSDI, S.E",L,1
2019,DPR ,ACEH,ACEH I,13,Hanura,ROHAYA,P,2
2019,DPR ,ACEH,ACEH I,13,Hanura,ZULKARNAINI,L,3
2019,DPR ,ACEH,ACEH I,13,Hanura,ROSNANI DJAKFAR,P,4
2019,DPR ,ACEH,ACEH I,13,Hanura,AGUSNIN ARIF,L,5
2019,DPR ,ACEH,ACEH I,13,Hanura,AZIZAH,P,6
2019,DPR ,ACEH,ACEH I,14,Demokrat,H. TEUKU RIEFKY HARSYA,L,1
2019,DPR ,ACEH,ACEH I,14,Demokrat,"M. TANWIER MAHDI, S.Ag.MM",L,2
2019,DPR ,ACEH,ACEH I,14,Demokrat,"ZAIYANA PUTRI, S.Pd.M.Pd",P,3
2019,DPR ,ACEH,ACEH I,14,Demokrat,M. ALI YAKOB,L,4
2019,DPR ,ACEH,ACEH I,14,Demokrat,"T. ISKANDAR DAOD, SE, M.Si.Ak.",L,5
2019,DPR ,ACEH,ACEH I,14,Demokrat,"IDARYANI, SE.M.Si",P,6
2019,DPR ,ACEH,ACEH I,14,Demokrat,"RAHMIATI, SE.Ak",P,7
2019,DPR ,ACEH,ACEH I,19,PBB,Dr. (H.C.) Tgk. MUHAMMAD YUS,L,1
2019,DPR ,ACEH,ACEH I,19,PBB,SUMARDI,L,2
2019,DPR ,ACEH,ACEH I,19,PBB,"SALAWATI DAHLAN MS, SE",P,3
2019,DPR ,ACEH,ACEH I,19,PBB,DRS. H.MISWAR SULAIMAN,L,4
2019,DPR ,ACEH,ACEH I,19,PBB,"Drs. H.SJECH AHMADIN, MM",L,5
2019,DPR ,ACEH,ACEH I,19,PBB,"MARDIANA, S.Sos.I",P,6
2019,DPR ,ACEH,ACEH I,19,PBB,DHAHRATUL AINI,P,7
2019,DPR ,ACEH,ACEH I,20,PKPI,"ARIZAN, S.H.",L,1
2019,DPR ,ACEH,ACEH I,20,PKPI,HAMIDIN MUHAMMAD,L,2
2019,DPR ,ACEH,ACEH I,20,PKPI,AFILIA TRI HANJANI,P,3
2019,DPR ,ACEH,ACEH I,20,PKPI,"PASMAH PUTRA ANDRY AGUNG, M.M.",L,4
2019,DPR ,ACEH,ACEH I,20,PKPI,ERMANITA,P,5
2019,DPR ,ACEH,ACEH II,1,PKB,"MAHFUZD, SE",L,1
2019,DPR ,ACEH,ACEH II,1,PKB,"SAYUTI, SH.MH",L,2
2019,DPR ,ACEH,ACEH II,1,PKB,SRI ARIANA NINGSIH,P,3
2019,DPR ,ACEH,ACEH II,1,PKB,RUSLAN M. DAUD,L,4
2019,DPR ,ACEH,ACEH II,1,PKB,RAHMI ABDI,P,5
2019,DPR ,ACEH,ACEH II,1,PKB,"FAISAL RIDHA, S.Ag., MM",L,6
2019,DPR ,ACEH,ACEH II,2,Gerindra,"Ir. H. T. A. KHALID, M.M",L,1
2019,DPR ,ACEH,ACEH II,2,Gerindra,CUT PUTEH,P,2
2019,DPR ,ACEH,ACEH II,2,Gerindra,"T. ZAINAL ABIDIN, S.Pd.I",L,3
2019,DPR ,ACEH,ACEH II,2,Gerindra,"FERRY MUNANDAR, ST",L,4
2019,DPR ,ACEH,ACEH II,2,Gerindra,"Ir. H. NASARUDDIN, MM",L,5
2019,DPR ,ACEH,ACEH II,2,Gerindra,"SITI NURMASYITHAH, S.Sos",P,6
2019,DPR ,ACEH,ACEH II,3,PDIP,Ir. H. TAGORE ABU BAKAR,L,1
2019,DPR ,ACEH,ACEH II,3,PDIP,"HJ. MARIA KARSIA, S.S.",P,2
2019,DPR ,ACEH,ACEH II,3,PDIP,"GUNTARAYADI, S.P.",L,3
2019,DPR ,ACEH,ACEH II,3,PDIP,HUSAINI MH,L,4
2019,DPR ,ACEH,ACEH II,3,PDIP,MUHAMMAD SUFI,L,5
2019,DPR ,ACEH,ACEH II,3,PDIP,"LISNAWATI GINTING, S.H., M.H.",P,6
2019,DPR ,ACEH,ACEH II,4,Golkar,ILHAM PANGESTU,L,1
2019,DPR ,ACEH,ACEH II,4,Golkar,DRS. H. MARZUKI DAUD,L,2
2019,DPR ,ACEH,ACEH II,4,Golkar,"CUT RIZKA SEPTIANI, M.Si",P,3
2019,DPR ,ACEH,ACEH II,4,Golkar,"FIRMANDEZ, S.E., Ak.",L,4
2019,DPR ,ACEH,ACEH II,4,Golkar,"REDUK NILAWARNI, S.Pd",P,5
2019,DPR ,ACEH,ACEH II,4,Golkar,T. YUSNI,L,6
2019,DPR ,ACEH,ACEH II,5,NasDem,ZULFAN LINDAN,L,1
2019,DPR ,ACEH,ACEH II,5,NasDem,MUHARUDDIN,L,2
2019,DPR ,ACEH,ACEH II,5,NasDem,FATIMAH ZUHRA,P,3
2019,DPR ,ACEH,ACEH II,5,NasDem,EFENDI,L,4
2019,DPR ,ACEH,ACEH II,5,NasDem,"DR. IBRAHIM HASYIM SE, MM",L,5
2019,DPR ,ACEH,ACEH II,5,NasDem,RIMA MELATI,P,6
2019,DPR ,ACEH,ACEH II,6,Garuda,"AGUSTIAWAN NUR, SE",L,1
2019,DPR ,ACEH,ACEH II,6,Garuda,TGK. MUNTAHA,L,2
2019,DPR ,ACEH,ACEH II,6,Garuda,"WARDANI MARLINA, SE",P,3
2019,DPR ,ACEH,ACEH II,7,Berkarya,Drs. TEUKU BUSTAMI UMAR,L,1
2019,DPR ,ACEH,ACEH II,7,Berkarya,"Drs. T.A. RAHMAN ALBA, MM",L,2
2019,DPR ,ACEH,ACEH II,7,Berkarya,SELVI OKTARICA,P,3
2019,DPR ,ACEH,ACEH II,7,Berkarya,"H. NASRUL FUAD, SE, AK",L,4
2019,DPR ,ACEH,ACEH II,7,Berkarya,SUNDARI,P,5
2019,DPR ,ACEH,ACEH II,7,Berkarya,HAMDANI IDRIS,L,6
2019,DPR ,ACEH,ACEH II,8,PKS,"H. MUHAMMAD NASIR DJAMIL, S. AG., M. Si",L,1
2019,DPR ,ACEH,ACEH II,8,PKS,"TGK. H. MUHAMMAD NUR, M. Si",L,2
2019,DPR ,ACEH,ACEH II,8,PKS,"Dr. SUESILOWATY, SE., M.MPar",P,3
2019,DPR ,ACEH,ACEH II,8,PKS,BARMANSYAH,L,4
2019,DPR ,ACEH,ACEH II,8,PKS,"M. YUSUF ISMAIL PASE, SH, MH",L,5
2019,DPR ,ACEH,ACEH II,8,PKS,"SARI DEWI, SE.Ak",P,6
2019,DPR ,ACEH,ACEH II,9,Perindo,GIVIANNA ELY,P,1
2019,DPR ,ACEH,ACEH II,9,Perindo,HERMAN KOSASIH,L,2
2019,DPR ,ACEH,ACEH II,9,Perindo,"HERMAN BAHARI, S.H",L,3
2019,DPR ,ACEH,ACEH II,9,Perindo,"RAZALI ZAINUDDIN, A.Md.",L,4
2019,DPR ,ACEH,ACEH II,9,Perindo,NURHAYATI,P,5
2019,DPR ,ACEH,ACEH II,9,Perindo,SIWI ASRI MOPRIRATNA,P,6
2019,DPR ,ACEH,ACEH II,10,PPP,"H ANWAR IDRIS, DRS",L,1
2019,DPR ,ACEH,ACEH II,10,PPP,AKMAL HANIF,L,2
2019,DPR ,ACEH,ACEH II,10,PPP,NURHANITA ZAHARA,P,3
2019,DPR ,ACEH,ACEH II,10,PPP,Ir. SYUKUR KOBATH,L,4
2019,DPR ,ACEH,ACEH II,10,PPP,"JAMALUDIN, SE",L,5
2019,DPR ,ACEH,ACEH II,10,PPP,CUT FATNIAH,P,6
2019,DPR ,ACEH,ACEH II,11,PSI,"KAMARUDDIN, SH",L,1
2019,DPR ,ACEH,ACEH II,11,PSI,"RAMADLAN, ST, MT",L,2
2019,DPR ,ACEH,ACEH II,11,PSI,IKA LESTARI,P,3
2019,DPR ,ACEH,ACEH II,11,PSI,CUT ERNITA,P,4
2019,DPR ,ACEH,ACEH II,11,PSI,ZAMZAMI,L,5
2019,DPR ,ACEH,ACEH II,11,PSI,M HUSNI,L,6
2019,DPR ,ACEH,ACEH II,12,PAN,TEUKU HASBULLAH. HD,L,1
2019,DPR ,ACEH,ACEH II,12,PAN,"Dr. AHMAD FARHAN HAMID, MS",L,2
2019,DPR ,ACEH,ACEH II,12,PAN,ANJAR AULIA,P,3
2019,DPR ,ACEH,ACEH II,12,PAN,"ERMIADI ABDUL RAHMAN, ST",L,4
2019,DPR ,ACEH,ACEH II,12,PAN,"ROSNAWATI, S.Pd.I",P,5
2019,DPR ,ACEH,ACEH II,12,PAN,"H. BASRUN YUSUF, SH",L,6
2019,DPR ,ACEH,ACEH II,13,Hanura,MIRWAN AMIR,L,1
2019,DPR ,ACEH,ACEH II,13,Hanura,SARA NAIDU,P,2
2019,DPR ,ACEH,ACEH II,13,Hanura,TATA MOEDA TAQWA,L,3
2019,DPR ,ACEH,ACEH II,13,Hanura,ALAMSYAH,L,4
2019,DPR ,ACEH,ACEH II,13,Hanura,MAULIZA WULANDARI,P,5
2019,DPR ,ACEH,ACEH II,13,Hanura,SANDY PANGESTU,L,6
2019,DPR ,ACEH,ACEH II,14,Demokrat,"MUSLIM, SHI.MM",L,1
2019,DPR ,ACEH,ACEH II,14,Demokrat,MIRNAWATI,P,2
2019,DPR ,ACEH,ACEH II,14,Demokrat,"HAMDAN SATI, ST",L,3
2019,DPR ,ACEH,ACEH II,14,Demokrat,JAMALUDDIN T MUKU,L,4
2019,DPR ,ACEH,ACEH II,14,Demokrat,KAUTSAR MUHAMMAD YUS,L,5
2019,DPR ,ACEH,ACEH II,14,Demokrat,PINUS YANI,P,6
2019,DPR ,ACEH,ACEH II,19,PBB,"AZHARI CAGE, S.IP",L,1
2019,DPR ,ACEH,ACEH II,19,PBB,"MAWARDI ABDULLAH, M.M.",L,2
2019,DPR ,ACEH,ACEH II,19,PBB,"CUT AYU MAUIDHAH, S.Sos.I, M.Sos.",P,3
2019,DPR ,ACEH,ACEH II,19,PBB,"H. A. RIDWAN M DALLAH, SE",L,4
2019,DPR ,ACEH,ACEH II,19,PBB,"ISWADI, M.Pd",L,5
2019,DPR ,ACEH,ACEH II,19,PBB,"PIPIH SOPIAH, SE",P,6
2019,DPR ,ACEH,ACEH II,20,PKPI,USWATUN CHASANAH,P,1
2019,DPR ,BALI,BALI,1,PKB,"ANTONIUS IWAN DWI LAKSONO, SE",L,1
2019,DPR ,BALI,BALI,1,PKB,"EKO BUDI CAHYONO, SE., MM",L,2
2019,DPR ,BALI,BALI,1,PKB,"NIKEN SEPTIKASARI, S.Sos",P,3
2019,DPR ,BALI,BALI,1,PKB,"SOESIYANTO, S.Sos",L,4
2019,DPR ,BALI,BALI,1,PKB,"SUGIONO, S.Ag., M.Pd.I",L,5
2019,DPR ,BALI,BALI,1,PKB,SITI ULFAH,P,6
2019,DPR ,BALI,BALI,1,PKB,"J. WAJAN SUDJANA, ST",L,7
2019,DPR ,BALI,BALI,1,PKB,ULFA PRADANI PUTRI IMAMI,P,8
2019,DPR ,BALI,BALI,1,PKB,SYAIFUDDIN,L,9
2019,DPR ,BALI,BALI,2,Gerindra,"IDA BAGUS PUTU SUKARTA, SE., M.Si",L,1
2019,DPR ,BALI,BALI,2,Gerindra,"A.A. NGURAH ALIT WIRAPUTRA, SH., MH",L,2
2019,DPR ,BALI,BALI,2,Gerindra,"SABARIAH, H.D.T",P,3
2019,DPR ,BALI,BALI,2,Gerindra,WAYAN PURWANI,P,4
2019,DPR ,BALI,BALI,2,Gerindra,I WAYAN SUNARTA,L,5
2019,DPR ,BALI,BALI,2,Gerindra,drh. COK ISTRI DEWI SRIJAYANTI,P,6
2019,DPR ,BALI,BALI,2,Gerindra,"I MADE KARI, ST",L,7
2019,DPR ,BALI,BALI,2,Gerindra,I NYOMAN LUKIUS UTOMO,L,8
2019,DPR ,BALI,BALI,2,Gerindra,"GEDE SUGIANYAR, SH",L,9
2019,DPR ,BALI,BALI,3,PDIP,"Drs. I MADE URIP, M.Si",L,1
2019,DPR ,BALI,BALI,3,PDIP,"I G. N. KESUMA KELAKAN, S.T, . M.Si",L,2
2019,DPR ,BALI,BALI,3,PDIP,"Dra. I G. AGUNG PUTRI ASTRID K., M.A.",P,3
2019,DPR ,BALI,BALI,3,PDIP,"I GUSTI AGUNG RAI WIRAJAYA, S.E., M.M.",L,4
2019,DPR ,BALI,BALI,3,PDIP,"I KETUT KARIYASA ADNYANA, S.P.",L,5
2019,DPR ,BALI,BALI,3,PDIP,KOMANG DIAH KARTIKASARI,P,6
2019,DPR ,BALI,BALI,3,PDIP,"I NYOMAN PARTA, S.H.",L,7
2019,DPR ,BALI,BALI,3,PDIP,"LUH PUTU SUWANDEWI AESCHLIMANN, S.Sos, . M.M.",P,8
2019,DPR ,BALI,BALI,3,PDIP,"I WAYAN SUDIRTA, S.H.",L,9
2019,DPR ,BALI,BALI,4,Golkar,"GDE SUMARJAYA LINGGIH, S.E, M.A.P.",L,1
2019,DPR ,BALI,BALI,4,Golkar,A.A. BAGUS ADHI MAHENDRA PUTRA,L,2
2019,DPR ,BALI,BALI,4,Golkar,"I GUSTI AGUNG AYU SRI PUSPA DEWI, S.T",P,3
2019,DPR ,BALI,BALI,4,Golkar,Drs. I KETUT SUDIKERTA,L,4
2019,DPR ,BALI,BALI,4,Golkar,"I WAYAN GEREDEG, S.H., M.A.P",L,5
2019,DPR ,BALI,BALI,4,Golkar,"DIAN FATMAYANTY, S.H",P,6
2019,DPR ,BALI,BALI,4,Golkar,"I MADE WIJAYA, S.Kom",L,7
2019,DPR ,BALI,BALI,4,Golkar,dr. G. AYU AMELINDA HANJANI,P,8
2019,DPR ,BALI,BALI,4,Golkar,"I GEDE ARIAWAN, S.I.P., M.I.P",L,9
2019,DPR ,BALI,BALI,5,NasDem,IDA BAGUS OKA GUNASTAWA,L,1
2019,DPR ,BALI,BALI,5,NasDem,"DR. RUFINUS H. HUTAURUK, S.H., M.M., M.H.",L,2
2019,DPR ,BALI,BALI,5,NasDem,NI LUH PUTU ARY PERTAMI DJELANTIK,P,3
2019,DPR ,BALI,BALI,5,NasDem,"PUTU INDRA LESMANA, ST",L,4
2019,DPR ,BALI,BALI,5,NasDem,DRS. I NYOMAN SUTRISNO,L,5
2019,DPR ,BALI,BALI,5,NasDem,"TJOK ISTRI NGURAH ROOSANY, SE, M.Agb",P,6
2019,DPR ,BALI,BALI,5,NasDem,"Ir. WAYAN SUARJA AGUNG R, M.M",L,7
2019,DPR ,BALI,BALI,5,NasDem,I MADE SURYA ARCANA,L,8
2019,DPR ,BALI,BALI,5,NasDem,"NI WAYAN ANIK SATRIA DEWI, S.T.P",P,9
2019,DPR ,BALI,BALI,6,Garuda,I WAYAN M DANA ADNYANA,L,1
2019,DPR ,BALI,BALI,6,Garuda,"I NYOMAN KANTUN, S.H, M.M, M.H",L,2
2019,DPR ,BALI,BALI,6,Garuda,IDA AYU SURYAWATI,P,3
2019,DPR ,BALI,BALI,6,Garuda,"ANAK AGUNG GDE HARYA PUTRA, S.S",L,4
2019,DPR ,BALI,BALI,6,Garuda,LISMA,P,5
2019,DPR ,BALI,BALI,7,Berkarya,"Drs. DEWA BAGUS MADE SUHARYA, SH",L,1
2019,DPR ,BALI,BALI,7,Berkarya,I WAYAN KUSMINTHA DUSAK,L,2
2019,DPR ,BALI,BALI,7,Berkarya,"NYOMAN PARTINI, SH., MH.",P,3
2019,DPR ,BALI,BALI,7,Berkarya,I WAYAN WETHA,L,4
2019,DPR ,BALI,BALI,7,Berkarya,MADE KARTHA WIRATAMA,L,5
2019,DPR ,BALI,BALI,7,Berkarya,"LINA TRI WIJAYANTI, SE",P,6
2019,DPR ,BALI,BALI,7,Berkarya,"IDA BAGUS PUTU PARTA, SE.",L,7
2019,DPR ,BALI,BALI,7,Berkarya,Ir. H. SULISTIYONO,L,8
2019,DPR ,BALI,BALI,7,Berkarya,NI KETUT TRISNAWATI,P,9
2019,DPR ,BALI,BALI,8,PKS,ARYA SANDHIYUDDHA,L,1
2019,DPR ,BALI,BALI,8,PKS,"HJ. LILI ANITA BALIANI, S.P, M.M",P,2
2019,DPR ,BALI,BALI,9,Perindo,I WAYAN SUKLA ARNATA,L,1
2019,DPR ,BALI,BALI,9,Perindo,"I MADE DANA, SH",L,2
2019,DPR ,BALI,BALI,9,Perindo,SRI WAHYUNI,P,3
2019,DPR ,BALI,BALI,9,Perindo,"Drs. I MADE SUARA, M.Pd",L,4
2019,DPR ,BALI,BALI,9,Perindo,"ADRID INDARYANTO, SH., MM",L,5
2019,DPR ,BALI,BALI,9,Perindo,LUCIANA AYU SUKMAWATI,P,6
2019,DPR ,BALI,BALI,9,Perindo,TOTO SURYAWAN SUKARNO PUTRA,L,7
2019,DPR ,BALI,BALI,9,Perindo,I NYOMAN SUDANA,L,8
2019,DPR ,BALI,BALI,9,Perindo,SELVIANTI JOENOES,P,9
2019,DPR ,BALI,BALI,10,PPP,"LISMAINI, SE",P,1
2019,DPR ,BALI,BALI,10,PPP,"FAISAL AHMAD, SHI",L,2
2019,DPR ,BALI,BALI,10,PPP,ZULKARNAIN,L,3
2019,DPR ,BALI,BALI,10,PPP,"CERIA MONICA, S.I.Kom",P,4
2019,DPR ,BALI,BALI,10,PPP,"MASHUDI, S.Pd.",L,5
2019,DPR ,BALI,BALI,10,PPP,MUSDALIFAH,P,6
2019,DPR ,BALI,BALI,10,PPP,DAMAYANTI HERMAWAN,P,7
2019,DPR ,BALI,BALI,10,PPP,ISNAWATY,P,8
2019,DPR ,BALI,BALI,10,PPP,R. MIRA OKTARIA,P,9
2019,DPR ,BALI,BALI,11,PSI,"I NENGAH YASA ADI SUSANTO, S.H., M.H",L,1
2019,DPR ,BALI,BALI,11,PSI,"DEDY NUR, ST",L,2
2019,DPR ,BALI,BALI,11,PSI,"DIAH KURNIAWATI, S.Miss",P,3
2019,DPR ,BALI,BALI,11,PSI,"I MADE CAKRA IRAWAN, S.T.",L,4
2019,DPR ,BALI,BALI,11,PSI,"IDA AYU RATIH KUMALASARI, AMA.Par",P,5
2019,DPR ,BALI,BALI,11,PSI,HENI INDRIATI,P,6
2019,DPR ,BALI,BALI,11,PSI,I KETUT DARMADI,L,7
2019,DPR ,BALI,BALI,11,PSI,"DEWA PUTU SANTIKA, S.Sos, M.Si",L,8
2019,DPR ,BALI,BALI,11,PSI,"I WAYAN SUARNA, S.Sos",L,9
2019,DPR ,BALI,BALI,12,PAN,KHAIRUL FAHMI,L,1
2019,DPR ,BALI,BALI,12,PAN,MUHAMMAD ZAINI,L,2
2019,DPR ,BALI,BALI,12,PAN,KHUSNAINI SAFITRI,P,3
2019,DPR ,BALI,BALI,12,PAN,IWAN SATRIAWAN,L,4
2019,DPR ,BALI,BALI,12,PAN,AGUS WIDODO,L,5
2019,DPR ,BALI,BALI,12,PAN,SRI WULAN RAMADHANI,P,6
2019,DPR ,BALI,BALI,12,PAN,"NGATEMIN, S.TP",L,7
2019,DPR ,BALI,BALI,12,PAN,"FAUDHINIA ADINDA PURBARANI, SH",P,8
2019,DPR ,BALI,BALI,12,PAN,"MUSTARI MANGKAUK PUTRA, S.Fil.I.",L,9
2019,DPR ,BALI,BALI,13,Hanura,"GEDE PASEK SUARDIKA, SH, MH",L,1
2019,DPR ,BALI,BALI,13,Hanura,"YAN MITHA DJAKSANA, S.Kom, M.Kom",L,2
2019,DPR ,BALI,BALI,13,Hanura,"NENGAH SUKENITI, SE",P,3
2019,DPR ,BALI,BALI,13,Hanura,"Drs. I WAYAN NUADA, S.H., M.M",L,4
2019,DPR ,BALI,BALI,13,Hanura,NI PUTU SRI UTARI,P,5
2019,DPR ,BALI,BALI,13,Hanura,"I PUTU INDRA MANDHALA PUTRA, S.H., M.Kn",L,6
2019,DPR ,BALI,BALI,13,Hanura,"I GEDE MERTA, S. Sos., M.AP",L,7
2019,DPR ,BALI,BALI,13,Hanura,ROFII'ATUL FITRIYYAH,P,8
2019,DPR ,BALI,BALI,13,Hanura,I KADEK ARIMBAWA,L,9
2019,DPR ,BALI,BALI,14,Demokrat,PUTU SUPADMA RUDANA,L,1
2019,DPR ,BALI,BALI,14,Demokrat,"TUTIK KUSUMA WARDHANI, SE.MM. M.Kes",P,2
2019,DPR ,BALI,BALI,14,Demokrat,GEDE NGURAH WIDIDANA,L,3
2019,DPR ,BALI,BALI,14,Demokrat,IDA AYU AGUNG TIKAYANTI,P,4
2019,DPR ,BALI,BALI,14,Demokrat,ERLANGGA BRAHMANTYA,L,5
2019,DPR ,BALI,BALI,14,Demokrat,Dra. WORO PUJI HASTUTI,P,6
